customer_id,avg_login,avg_amount,avg_blink,avg_motion,trusted_device,location,historical_risk
C1000,19,1050,13,0.31,Pixel8,Hyderabad,16
C1001,20,22027,21,0.21,iPhone15,Hyderabad,6
C1002,23,44104,19,0.33,Pixel8,Bangalore,27
C1003,15,14326,16,0.53,VivoX100,Kolkata,21
C1004,23,17543,22,0.37,Samsung_S24,Mumbai,21
C1005,10,36167,20,0.41,OnePlus12,Delhi,11
C1006,10,28814,17,0.31,iPhone15,Bangalore,19
C1007,18,28250,18,0.58,iPhone15,Bangalore,23
C1008,14,16524,20,0.49,iPhone15,Pune,30
C1009,6,37494,18,0.38,iPhone15,Chennai,4
C1010,21,13059,10,0.37,Samsung_S24,Bangalore,19
C1011,10,28779,13,0.37,iPhone15,Delhi,34
C1012,23,27705,15,0.59,VivoX100,Delhi,31
C1013,15,19171,11,0.49,OnePlus12,Kolkata,24
C1014,19,37419,15,0.32,Samsung_S24,Hyderabad,3
C1015,16,11539,17,0.57,Pixel8,Bangalore,34
C1016,20,36724,17,0.57,iPhone15,Pune,29
C1017,9,11513,14,0.43,Pixel8,Bangalore,20
C1018,18,25756,11,0.39,OnePlus12,Hyderabad,21
C1019,9,1119,16,0.3,iPhone15,Mumbai,15
C1020,6,31195,20,0.35,Samsung_S24,Delhi,39
C1021,9,13041,15,0.34,iPhone15,Mumbai,33
C1022,10,22352,10,0.59,iPhone15,Kolkata,38
C1023,16,22877,11,0.45,iPhone15,Hyderabad,22
C1024,19,38711,10,0.59,VivoX100,Hyderabad,31
C1025,7,31449,16,0.5,OnePlus12,Hyderabad,16
C1026,21,40775,22,0.44,Pixel8,Chennai,38
C1027,19,36589,10,0.23,VivoX100,Kolkata,30
C1028,13,44494,15,0.4,VivoX100,Kolkata,24
C1029,11,18482,14,0.58,OnePlus12,Kolkata,39
C1030,12,21891,22,0.46,Pixel8,Pune,37
C1031,12,32807,12,0.2,Pixel8,Hyderabad,37
C1032,13,7636,18,0.49,VivoX100,Delhi,15
C1033,22,48746,11,0.47,VivoX100,Kolkata,38
C1034,9,19140,16,0.25,OnePlus12,Bangalore,15
C1035,14,21080,15,0.59,VivoX100,Hyderabad,0
C1036,9,20764,19,0.42,OnePlus12,Mumbai,14
C1037,7,41381,14,0.58,iPhone15,Kolkata,0
C1038,6,28652,17,0.37,OnePlus12,Hyderabad,37
C1039,16,35247,13,0.44,OnePlus12,Delhi,4
C1040,14,32153,19,0.36,OnePlus12,Hyderabad,5
C1041,17,21079,19,0.34,Samsung_S24,Bangalore,15
C1042,10,16703,10,0.2,Pixel8,Kolkata,13
C1043,17,12054,19,0.35,Pixel8,Kolkata,34
C1044,8,33207,12,0.34,VivoX100,Chennai,23
C1045,22,12656,15,0.39,Pixel8,Pune,32
C1046,20,34263,22,0.5,OnePlus12,Pune,9
C1047,17,23884,22,0.22,iPhone15,Mumbai,30
C1048,10,25533,15,0.41,VivoX100,Kolkata,32
C1049,6,16025,18,0.45,OnePlus12,Kolkata,29
C1050,18,31613,22,0.31,iPhone15,Chennai,21
C1051,16,31079,16,0.22,iPhone15,Mumbai,27
C1052,21,48115,10,0.31,OnePlus12,Pune,32
C1053,6,45172,11,0.41,Pixel8,Delhi,15
C1054,14,31214,18,0.38,Samsung_S24,Pune,27
C1055,19,17676,17,0.2,Samsung_S24,Kolkata,24
C1056,13,28327,15,0.41,Samsung_S24,Hyderabad,6
C1057,21,8900,14,0.21,iPhone15,Kolkata,24
C1058,20,41363,13,0.43,OnePlus12,Mumbai,40
C1059,17,19943,20,0.5,VivoX100,Chennai,40
C1060,13,43131,12,0.51,iPhone15,Delhi,29
C1061,7,19076,16,0.36,Samsung_S24,Chennai,0
C1062,15,20729,20,0.41,Samsung_S24,Kolkata,9
C1063,10,15663,17,0.4,OnePlus12,Mumbai,12
C1064,7,23753,16,0.44,Samsung_S24,Bangalore,7
C1065,7,25592,17,0.22,iPhone15,Hyderabad,37
C1066,15,570,21,0.3,OnePlus12,Hyderabad,29
C1067,21,41533,14,0.55,Samsung_S24,Pune,7
C1068,11,48243,16,0.32,Pixel8,Pune,29
C1069,8,3563,14,0.34,VivoX100,Chennai,3
C1070,21,7615,21,0.32,Pixel8,Mumbai,14
C1071,18,25535,17,0.54,Samsung_S24,Pune,22
C1072,8,43940,21,0.44,iPhone15,Bangalore,5
C1073,19,2708,14,0.49,Pixel8,Delhi,11
C1074,23,44886,19,0.5,OnePlus12,Pune,1
C1075,20,20552,17,0.23,iPhone15,Chennai,26
C1076,16,22413,14,0.25,Samsung_S24,Hyderabad,28
C1077,9,12710,13,0.3,iPhone15,Hyderabad,7
C1078,15,26910,11,0.39,iPhone15,Chennai,8
C1079,8,21226,16,0.33,iPhone15,Pune,13
C1080,7,27989,14,0.2,Samsung_S24,Bangalore,39
C1081,22,14978,12,0.55,OnePlus12,Hyderabad,35
C1082,6,3300,13,0.22,Pixel8,Chennai,40
C1083,10,21396,21,0.57,Pixel8,Pune,19
C1084,14,22398,13,0.22,OnePlus12,Kolkata,37
C1085,15,10876,13,0.53,OnePlus12,Kolkata,16
C1086,13,16976,11,0.56,OnePlus12,Pune,29
C1087,8,3623,11,0.52,OnePlus12,Delhi,23
C1088,13,28265,19,0.2,iPhone15,Chennai,23
C1089,13,28601,22,0.35,iPhone15,Pune,14
C1090,20,5069,11,0.27,Samsung_S24,Hyderabad,9
C1091,19,16789,17,0.5,iPhone15,Hyderabad,15
C1092,20,8354,22,0.43,VivoX100,Bangalore,2
C1093,11,27213,17,0.5,iPhone15,Delhi,4
C1094,22,14994,14,0.52,VivoX100,Kolkata,19
C1095,14,42667,17,0.5,Pixel8,Hyderabad,31
C1096,12,25223,13,0.43,VivoX100,Kolkata,23
C1097,22,29209,12,0.44,Samsung_S24,Bangalore,19
C1098,17,39956,17,0.55,Pixel8,Chennai,15
C1099,9,49037,20,0.29,VivoX100,Kolkata,18
C1100,8,42490,16,0.2,Pixel8,Mumbai,7
C1101,22,24332,21,0.46,OnePlus12,Delhi,10
C1102,17,18512,11,0.43,Samsung_S24,Chennai,18
C1103,15,8939,19,0.24,VivoX100,Chennai,24
C1104,13,43757,15,0.42,Pixel8,Delhi,36
C1105,20,44668,19,0.36,Pixel8,Bangalore,18
C1106,10,47124,10,0.47,Pixel8,Hyderabad,28
C1107,16,28410,16,0.34,Samsung_S24,Bangalore,7
C1108,18,9944,12,0.53,Pixel8,Mumbai,15
C1109,13,24911,10,0.34,iPhone15,Pune,12
C1110,8,28615,12,0.34,iPhone15,Hyderabad,5
C1111,17,23330,19,0.42,OnePlus12,Kolkata,6
C1112,22,14717,11,0.6,Pixel8,Hyderabad,23
C1113,6,18353,15,0.37,Samsung_S24,Bangalore,10
C1114,9,19848,10,0.27,iPhone15,Kolkata,20
C1115,17,12855,21,0.28,OnePlus12,Chennai,10
C1116,21,31185,14,0.46,Pixel8,Hyderabad,34
C1117,13,14387,10,0.4,OnePlus12,Bangalore,29
C1118,21,40031,10,0.29,Pixel8,Pune,20
C1119,22,32100,12,0.48,VivoX100,Chennai,17
C1120,7,41032,18,0.29,Samsung_S24,Pune,3
C1121,9,43252,20,0.53,Samsung_S24,Bangalore,35
C1122,6,41547,12,0.44,iPhone15,Pune,32
C1123,21,6240,11,0.29,OnePlus12,Bangalore,38
C1124,13,11989,16,0.49,Pixel8,Kolkata,33
C1125,7,6571,19,0.36,Pixel8,Kolkata,37
C1126,15,24679,12,0.32,Pixel8,Chennai,3
C1127,9,9814,21,0.32,VivoX100,Hyderabad,9
C1128,7,44133,19,0.43,Pixel8,Mumbai,25
C1129,13,47220,14,0.53,Samsung_S24,Delhi,37
C1130,11,21578,20,0.35,OnePlus12,Mumbai,13
C1131,8,2572,21,0.5,Pixel8,Hyderabad,17
C1132,23,11009,11,0.44,Pixel8,Delhi,35
C1133,10,42004,14,0.36,VivoX100,Kolkata,1
C1134,17,48591,14,0.54,VivoX100,Bangalore,12
C1135,8,2819,19,0.52,Pixel8,Bangalore,7
C1136,21,28305,10,0.47,VivoX100,Hyderabad,26
C1137,20,22081,10,0.5,Samsung_S24,Delhi,0
C1138,8,27616,18,0.36,Pixel8,Kolkata,39
C1139,7,5790,13,0.51,OnePlus12,Bangalore,11
C1140,13,44456,16,0.3,Pixel8,Hyderabad,30
C1141,19,37710,16,0.38,Samsung_S24,Mumbai,8
C1142,22,14612,15,0.56,Pixel8,Chennai,17
C1143,11,5917,20,0.48,OnePlus12,Kolkata,22
C1144,23,4239,11,0.4,OnePlus12,Hyderabad,18
C1145,13,26755,18,0.42,OnePlus12,Hyderabad,12
C1146,16,25892,16,0.32,VivoX100,Mumbai,12
C1147,17,34168,17,0.29,Pixel8,Mumbai,18
C1148,19,24864,16,0.42,Pixel8,Delhi,17
C1149,6,3320,22,0.36,iPhone15,Delhi,19
C1150,16,40215,13,0.35,VivoX100,Delhi,36
C1151,13,42719,14,0.44,Samsung_S24,Mumbai,17
C1152,23,43994,19,0.47,iPhone15,Kolkata,21
C1153,9,19939,17,0.44,OnePlus12,Mumbai,19
C1154,18,19513,20,0.32,Pixel8,Bangalore,26
C1155,21,25075,21,0.31,VivoX100,Kolkata,25
C1156,7,12587,19,0.24,VivoX100,Pune,15
C1157,21,37451,10,0.39,OnePlus12,Delhi,39
C1158,21,29336,13,0.37,Samsung_S24,Pune,0
C1159,21,20269,14,0.56,Pixel8,Chennai,20
C1160,23,962,16,0.56,VivoX100,Hyderabad,34
C1161,18,36011,19,0.57,OnePlus12,Kolkata,6
C1162,12,14962,20,0.48,OnePlus12,Kolkata,33
C1163,12,32999,17,0.36,VivoX100,Chennai,32
C1164,11,48718,12,0.45,Samsung_S24,Kolkata,29
C1165,12,12787,10,0.53,Samsung_S24,Delhi,19
C1166,10,24411,22,0.32,OnePlus12,Bangalore,35
C1167,13,8656,18,0.45,iPhone15,Chennai,28
C1168,6,26631,15,0.53,Samsung_S24,Mumbai,4
C1169,18,15620,11,0.39,Samsung_S24,Hyderabad,33
C1170,20,41318,22,0.28,OnePlus12,Delhi,17
C1171,23,18575,12,0.43,iPhone15,Bangalore,25
C1172,17,34556,10,0.5,Pixel8,Hyderabad,13
C1173,12,6597,12,0.22,Pixel8,Chennai,29
C1174,7,40375,15,0.37,VivoX100,Hyderabad,23
C1175,11,26319,16,0.6,OnePlus12,Pune,0
C1176,14,30653,13,0.41,VivoX100,Bangalore,11
C1177,23,26952,21,0.27,VivoX100,Bangalore,21
C1178,6,35884,14,0.51,Pixel8,Kolkata,28
C1179,8,44098,13,0.57,Pixel8,Delhi,1
C1180,6,5279,18,0.32,Samsung_S24,Kolkata,16
C1181,16,13650,11,0.21,OnePlus12,Chennai,15
C1182,15,25676,20,0.57,VivoX100,Pune,16
C1183,23,39254,18,0.25,OnePlus12,Pune,30
C1184,19,49933,15,0.38,VivoX100,Kolkata,25
C1185,8,32142,18,0.3,iPhone15,Mumbai,18
C1186,17,49857,21,0.54,VivoX100,Chennai,10
C1187,21,21422,16,0.6,Samsung_S24,Hyderabad,25
C1188,10,18572,15,0.45,Samsung_S24,Chennai,8
C1189,19,46289,12,0.37,VivoX100,Delhi,8
C1190,18,1913,14,0.52,iPhone15,Bangalore,37
C1191,9,49464,16,0.31,OnePlus12,Chennai,34
C1192,13,21849,11,0.23,Samsung_S24,Delhi,7
C1193,23,3553,12,0.44,Samsung_S24,Delhi,3
C1194,18,10012,22,0.59,Samsung_S24,Mumbai,22
C1195,11,46538,10,0.38,iPhone15,Chennai,18
C1196,7,49303,22,0.22,iPhone15,Mumbai,23
C1197,19,40650,15,0.56,iPhone15,Bangalore,8
C1198,11,34575,19,0.34,iPhone15,Chennai,36
C1199,18,6965,22,0.42,Samsung_S24,Bangalore,39
