transaction_id,customer_id,category,subcategory,transaction_amount,login_hour,device,location,blink_rate,motion_score,spoof_probability,beneficiary_new,rooted_device,historical_risk,crime_context,risk_label,timestamp
T1,C1067,Online Financial Fraud,Internet Banking Related Fraud,878217.47,0,Unknown_Device,Foreign,2,0.09,0.81,1,1,7,"FRAUD THROUGH	Internet Banking Related Fraud
BANKPunjab National Bank including Oriental Bank of Commerce and United Bank of India
ACCOUNT NO	
TOTAL AMOUNT	
 PLEASE HOLD REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT   AND TAKE NECESSARY ACTION",high,2026-03-19 14:56:27.325136
T2,C1198,Sexually Explicit Act,,45343.86,9,iPhone15,Chennai,21,0.27,0.19,0,0,36,Sir ya mujhe faltu ka msg karta hai meri id ma gande gande msg karta hau sir isko kadi sa kadi saja dilye mera mn nahi ana chiye plzz sir or sir mera number kha sa mil gaya hai to sab ko de rah hai or fande gande call ate hai,low,2026-04-02 19:48:27.325136
T3,C1059,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,33066.08,16,VivoX100,Chennai,21,0.51,0.13,0,0,40,In the name of doing Jio KYC for the continuation of my mobile number someone fraudster took my bank related information and all the otp and made three fraud transactions from my account Kindly help me to get my money,low,2026-05-19 10:29:27.325136
T4,C1143,Online Financial Fraud,UPI Related Frauds,6902.75,11,OnePlus12,Kolkata,18,0.48,0.14,0,0,22,"Dear sir
        Please stop the fraudulent transaction and refund the amount  in source account
 Regards 
",low,2026-02-11 02:46:27.325136
T5,C1076,Online Financial Fraud,UPI Related Frauds,25812.62,16,Samsung_S24,Hyderabad,13,0.23,0.04,0,0,28,Unauthorized amount withdrawn from the account Placed a complaint in bhopal   Hace got back the flipkart amount Thw transaction has happened in the Sunday afternoon  A day before there was already a link sent over by a courier guy This is the number ,low,2026-03-16 17:35:27.325136
T6,C1072,RapeGang Rape RGRSexually Abusive Content,,42272.26,7,iPhone15,Bangalore,19,0.5,0.01,0,0,5,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropol",low,2026-02-26 23:36:27.325136
T7,C1186,Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,270486.97,5,Emulator,Foreign,0,0.03,0.87,1,1,10,Dhani financial company stating I spent RsBut they did not issued physical cardOne person physical came to my house and unnecessary fighting with meI asked for full details but that person unable to provide transaction history,high,2026-03-11 08:18:27.325136
T8,C1131,Online Financial Fraud,UPI Related Frauds,42734.65,1,Unknown_Device,Foreign,3,0.15,0.86,1,1,17,FINANCIAL FRAUD,high,2026-01-13 13:57:27.325136
T9,C1008,Online and Social Media Related Crime,FakeImpersonating Profile,14819.18,12,iPhone15,Pune,22,0.42,0.02,0,0,30,I got a message on my whatsapp from   on   about the cryptocurrency USDT on   I show an interest to purchase the cryptocurrency I paid of Rs  for cryptocurrency  in different transactions After the payment for Rs  I neither receive any Bitcoin nor sh,low,2026-03-07 16:02:27.325136
T10,C1035,Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,16966.2,16,VivoX100,Hyderabad,17,0.54,0.19,1,0,0," Blakmail for money  Heshe maked my video video calling throw record by sex video and Heshe is sent me Rs
 FB   Pooja Kumari   Facebook ID or URL          FB  friend request sent  
  video delete            blakmail   
      FB  Mutual friends  vi",low,2026-05-28 04:01:27.325136
